3 3 111010010	ACT CAT
7 5 11101000000100011111101010000111000	CHI HIM HIS SCHISM SIM SIS
8 8 1111111001010100111111000001011110111010100010101000101010000000	CORE CORRECT COT ERR ORE RECTOR RETRO ROTE TOE TORE
10 9 000001110010011101001001010111111100000100001001110011100100001011110000100100000011111100	BID BIO BIRD BOD BRIM BRO DIM DORM MID MOB MORBID ORB RIB RID RIM ROB ROD
11 10 00001011111000111101000010101010001111010101001000001011111001110110000010001111010100001010111000000111000000	FED FEUD FUR FUSE FUSED REF RUDE RUE RUSE SUE SUED SURE SURF SURFED USE USED USER
9 7 000001111000001000111101110000000010111100111010100100011111100	AKIN INK INN KIN NAP NAPKIN NIP PAIN PAN PIN PINK
8 6 010111100100000011100001001111010010100101111111	FLU HURL HURT HURTFUL HUT RUT THRU TURF
7 5 01111100010010111011101000010111111	DODGE DODGED DOE DOG EGO GOD ODD ODE
14 10 00000001000000000000010100000000000111100000000111010000101001000111111111011110100110100001001001111101110111111001110000100000010100001000	CITE CITED DEPICT DICE DIET DIP EDICT EDIT EPIC ICE ICED PET PIC PIE PIT TEPID TIDE TIE TIED
10 10 0011100000001010000011101111001000010000100111100011101000000010111111001010101000100011110000001010	BELT BET BLUE BUT ELM EMU LUBE LUTE MELT MET MULE MUTE TUB TUBE TUMBLE
8 8 1111000000000100000011110010010101111101001010010111100100001111	EELS ELSE LENS PEEL PENS SEEN SEEP SLEEP SPLEEN
8 8 0000011100000101011111110101010111110001010001010000111100000100	LOOK LOOKOUT LOOT LOT OUT OUTLOOK TOO TOOK TOOL
11 10 01000000000010000000001111110100001010101000011101011110001111000100000010111011110111000000000010000000000100	DUE DUEL DUG DUPE GEL GLUE GLUED GULP GULPED LEG PEG PLED PLUG PUG
8 7 00111000101010001110111010000010111011111010100010101000	GRUMPY GUM GUY GYM MUG PRY RUG RUM RUMP YUM YUP
9 7 111100000000001111100001001111111001101001111111100000001000000	ASSIGN GAIN NAGS SAGS SANG SIGN SING SINS SNAG
7 7 1111000000001000010100111111010101001010000111100	LOCUS LUSH OUCH SLOUCH SOUL SUCH
11 11 0011111000000100010010111001111110100000001011100111110100001000001000010000010011111100100101000001001000000011110000000	COY CRY CURRY CURSOR CURSORY OUR ROSY SCOUR SCURRY SORRY SOUR SOY YOU YOUR
8 7 00111111001000010010010111110111010101000101010001011100	DEEM HEED HEM MEET THE THEE THEM THEME THEMED
9 8 011111100000101000101111000100101110101010100101011111101110000000010000	EEL EMERY EYE LEER LEERY MERE MERELY REEL RELY REM RYE
9 9 000000100000000100000000111100111101100101001111101111000101010000001010000001110	COKE CORE CORK COT ROCK ROCKET ROT ROTE TOE TORE TREK
11 9 000011110000001010101000011101010111100111101000001001011110011111010100100100111000000001010000000	BED BELL BILE BILL BILLED BLED DELI DILL IDLE ILL LED LIBEL LID LIE LIED
6 6 111111100010101111100101000101000111	DEER EVE EVER RED REED VEER VEERED
10 8 00100010001111001111101010100010111110101010100010001010001000111100100000000010	FIRE FOGGIER FORE FORGE FROG GORGE GRIEF OGRE RIFE
8 6 101111111010000111110101001011110000010011110111	DEN DUKE DUNE DUNK END JUKE JUNK JUNKED NUKE
12 12 010011111110011110000100010011110100111010010100001000011111011100010000000100000000011100000000001010100000001110111000000011101000000000001000	ACE ACNE ACT ANT ATE CAN CANE CANTEEN CAT CENT EAT EATEN ENACT NAN NEAT NET TAN TEE TEEN TEN
7 6 111000010100001110000010000101111110000001	AIR ART RAT TAR TRIVIA VAT VIA
11 11 0011110000000101000000001010100000111101000001000010000010000111111110001010010001111100111001001000011110000000100000000	DEMO DOE DOME DOMED ELM LODE MELD MODE MODEL MOLD MOLDED MOLE ODD ODE OLD
12 9 001110100000001011110000111010100010010001111111011100001010000100011110000111101000000101000000000001000000	ADO ADS DEAF DOSE FAD FADE FOE FOOD SAD SAFE SEA SEAFOOD SOD SODA SOFA
13 10 0000000111000001000010111100101111010100010100000111001111101110011101010101001010001110000100111100000010001000000000000101111100	HER HERO HEW HOE HOLE HOW HOWL HOWLER LORE LOW LOWER ORE OWE OWL ROLE ROW WHO WHOLE WOE WORE
7 5 00101110010101111111100000010111100	ELSE LESS SEE SUE USE USELESS
11 10 00100000001001000001010010010010100111100111111001111001000010010011100000100001010111000111101000000001110000	COIN CON FICTION FIN FIT FONT ICON INFO INTO ION NIT NOT TIC TIN TON TONIC
7 7 0111100010010011101110010010111111010000001000000	ACID ADD AID AND CAD CANDID DAD DID DIN
11 10 00000111100000101010000001110111100010000010111100111100100001010001000010100111110111000000001000011111010000	CRIES CRUISE CUE CURE CURSE ICE IRE RICE RISE RUE RUSE SIR SIRE SURE USER
8 6 101111001000000010001001111011111011100111100000	CHI HIS HIT ITCH ITS SIT STITCH THIS TIS
9 9 011100000010111110111101000100011110111010000001010000011111100001000000000011111	ALE APP APPEAL APPLE LAP LEAP PAL PALE PAP PAPA PAPAL PEP PLEA
9 7 000000100111110111000000101100000111100111101111101001100111101	BET BIT BITE BITTER RIB RITE TIE TIER TIRE TRIBE TRITE
13 11 00001001111000011110100100001010010111100101111010101111000001110000100111100000010010000001111111000000001000000000011111000000000010000000000	CLOT CLOUT COLT COOK COOL COT CULT LOCK LOCKOUT LOOK LOOT LOT LUCK OUT TOO TOOK TOOL TUCK
7 7 0001110000101001111110100000111011100100000111000	BOO BOW BOY COB COO COW COWBOY COY WOO
10 9 000011100101001010010111101001010001110111110101010100111100000010010000001111000000100100	DEEM DEER EDGE GEE GEM GERM GREED MERE MERGE MERGED RED REED REM
6 5 000111000101111111001001001110	CACTUS CAST CUT SAC SAT TAU
11 11 0001111000000000010000001011111100111101000000101000111111010001010100001010101000011100111011100001011100000011101000000	AMP APE ARM EAR ERA MAP MAR MARE PAR PARE PAVE PEA PEAR PER RAMP RAP RAVE REAP REP REVAMP
7 6 111101000000100101111010000111111110000001	FILL FLU FULFILL FULL ILL LULL
10 10 0000000100001011111100101001000111110100001010111111101000011000000001111010111110111010000010111000	DEW EWE SEED SET SEW SEWED STEW STEWED SWEDE SWEET TWEED WED WEE WEED WEST WET
7 7 0011110000001000111100010001111011110001011111111	DUD DUDE DUE DUET DUH HUE HUT THE THUD THUDDED
14 11 0100100000000011111100001000010010010010100111110100111001001001111010000011110001110000000000010000100111011100001001010100000010010111000000111100000000	DELI DIG DIRE GEL GIRDLE GIRL GLIDE GLIDER GRID IDLE LED LEG LID LIE LIED RID RIDE RIDGE RIG RILE
8 7 00010001000111011111010110100111101010011110111100001000	ALL ALLY DAY GAL GALL GLAD GLADLY LAD LADY LAG LAY
10 8 00010000000111110000010101111011111101010000000111011110100100000011110000001000	GUN GUY LUG LUNG SLUG SLUNG SLY SNUG SNUGLY SUN SUNG UGLY
11 9 000011111100010100001001111000010001000111111111101000010000010000111011100000010010000000111100000	COD CODE COED COOED COOP COOPED COP COPE COPED DOC DOE DOPE ODE POD
12 12 001111000000001001110111001111010101001010011101000010000001111111100111000000100010001111100010001000011110011110010010001000010000001000010000	GLORY GLOW GORY GOWN GROW GROWL GROWN LOG LONG LOW NOW ONLY OWL ROW WON WORN WRONG WRONGLY WRY YON
7 6 111011110100001010100100010011111110000100	DUTIFUL FIT FLUID LIFT LIT TIL
11 11 0000001111000001000000001111000100010100001011111001111000100010100111000101000100011110011110100000001001000000011110000	AIL AIR ALSO LAIR LIAR OAR OIL ORAL RAIL SAIL SAILOR SILO SIR SOAR SOIL SOLAR
9 9 001110111001010101111111101000010101000111000010100000111100000010000000011111000	GIG GIN GOGO GOING GONG GOO GOON INN ION NOON ONGOING ONION
12 12 111111100000000010100000001111100000000010100100000111110111111100000101100100011101111100001000101000111000011110100000000011100000000010000000	ARE ART ATE EAT EATER ERR RARE RAT RATE RATER REAR RETREAT TAR TART TEA TEAR TEE TERRA TREAT TREE
7 5 11111111010001111100110000000011110	MEMO MIME MOM MOMMIES SIM SOME
9 9 011110000010101000111111000010101111010001010000010010000011110000010000111110000	CORE FOES FORCE FORE FRESCO ORES REFS ROSE SCORE SORE
7 6 111101010000101001111111101010010001001000	PLOT PLOY POLY PORT PORTLY TYPO
13 10 0001111000000000101001110100010111101111111000010101010000000111101111111010000000010001000000001000100000000111110000000010000000	CLONE CON CONE ECHELON ECHO EEL HEEL HEN HENCE HOE HOLE HONE LEECH LONE ONCE ONE
8 8 0010001000101111101010101111111010001000111010000010100000111000	LOOK LOOKOUT LOOT LOT OUT OUTLOOK TOO TOOK TOOL
9 8 001111000001010000101011110111100100100001111001111000001001000111111100	ACE CAKE CAP CAPE CUE CUP CUPCAKE PACE PACK PEAK PECK PUCK
8 7 00001010000111110000101000011111010100101111001001010000	SEE SEED SEIZE SEIZED SIDE SIZE SIZED
10 10 1111000000100101000010011110001001010100000001111001010001000111111100010100000011110111110100000000	COOS COPIOUS COPS COUP CUPS CUSP OOPS OPUS PICS PIOUS SCOOP SOUP
8 8 0111000001010000010100011111000110001111100010011111110000001000	CUT CUTE DECK DUCK DUCT DUET DUKE TUCK TUCKED
11 10 00010100000011101110000101110111111100001010100000000101001001111011110010000100100100001011111000000010010000	FOR FORT FORTY FRO FROST FROSTY FRY OFT ROSY ROT SOFT SORT SOY STORY TOY TRY
7 7 0001000000100000111100101010010111101010101111000	BIOS BOWS SHOW SHOWBIZ WHIZ WISH
12 12 000100000000001111101000000101001000000111101000000101001000010101001010111100000010010000000111111101110100000101010100001111011100000100000100	FEE FERN FREE FRESH FRESHEN HEN HER HERE REEF REF SEE SEEN SEER SHE SHEEN SHEER SNEER
7 6 101110010101111010101101011100100100111010	BOB BORE BRO EBB ORB ORE ROB ROBBER ROBE
11 9 011111000000101000000001011100000111101000000000011100000100001000001110111110010101000000011111100	ACT ATTIC CAST CAT ITS SAC SAT SIT STAT STATIC TACIT TACT TIC TIS
7 7 0011110001000001111111001000101110011101000011110	DIN DUN DUNK INK INN KID KIN KIND NUN UNKIND
12 12 000010100000001110100100001011100100111000111110100111100100111010000100010010011111010100010100011101111000000101010000001111000000000001000000	ABLE ABLY ALE ALL ALLEY ALLY AYE BALE BALL BEE BELL BELLY BYE EYE EYEBALL LAB LABEL LAY YEA YELL
7 7 0001110000001011101111010100111111010000000011110	DEN DOE DONE END NOD NODDED NODE ODD ODE
12 10 000011100010000010100010001111111010000100100010111100001000010000111100011100101000000100111111000111101000000100000000	ACNE CAFE CAN CANE CANINE FACE FAN FIN FINANCE FINE ICE INANE NAN NICE NINE
7 6 011111100100100011110101010011101001000000	CONCUR CORN NOR OCCUR OUR RUN URN
11 11 0001111110000010001000011110111100101000001001001000010111110001110010111000101111010111001000111000000000010000011110000	ARE BAN BANE BAR BARE BARN BEAN BEAR BRA BRAN BRAZEN EAR EARN ERA NAB NEAR RAN RAZE ZEBRA
10 8 00001111110000101000001011110001111010000010001001111101010100010111010001110111	ILL LET LIE LILT LIT LITE LITTLE TELL TIE TIL TILE TILL TILT TITLE
9 8 000100000001111111000100010111101010010011110010001010011111000010000000	FILL FILLY FULL FULLY LILY NULL NULLIFY UNIFY
8 7 11110000000000001111100010000000101111111110100100101111	DUD DUDE DUE DUMP DUMPED DUPE DUPED EMU MUD
12 10 000001000000000001000001000001001111000001000101000101001111010100000010010111101110111100101000010000111000011111100000	REST RUE RUSE RUST RUT SET STRUT SUE SURE TEST TRUE TRUEST TRUST USE USER
8 6 111011110010000000111111001010100000111100001010	ELM LOVE MOLE MOVE MULE VOLE VOLUME
9 9 000111100111101000100101111111100001001000001001001111101000000101011110111000000	BELL BELT BET BLUE BULL BULLET BUT LET LUBE LUTE TELL TUB TUBE
9 7 111111100100001000101001111101000010111101110000000100011110100	ARK AWARD AWKWARD DARK DRAW RAD RAW WAD WAR WARD
11 10 00000001000000011110000010100111100111000001101000001111010000001011111101111100001010101000010100000001111000	DEMO DOE DOLE DOME DOMED LED LODE MELD MODE MODEL MOLD MOLDED ODD ODE OLD
8 8 0111111001010100010101111111000100001111010010000100100011111000	AGAVE AGE GAS GAVE SAG SAGA SAGE SAVAGE SAVE SEA VASE
10 8 00011111111110100100101110011111100100100000011110011111000000010000000001011110	IMP MOM MOP MUM OMIT OPIUM OPT OPTIMUM OUT PIT POT POUT PUT TIP TOP
8 7 00000010001110101110101010111111111000001000000010111100	CON CONE CORE CORNER CRONE ERR ONCE ONE ORE
13 12 000111100000000001011100000011101010100001000001111111100000101001000000001000111100000100000010001111110011110101000000101010100000000101010000000011111000	AGO AGONY ALONG ANALOG ANALOGY ANGLO ANY GAL GALA GOAL LAG LOAN LOG LONG NAG NAY ONLY YOGA YON
10 8 00011111110001000100010101110011110100000100111000000010100000001011110000111000	BILL BILLION BIN BIO BOIL BOLL ION LION LOB LOIN NIL OIL
9 9 011110000010000001010000001111111101001000101111100100010011110011110010000011110	EMPEROR MERE MORE PEER PER POEM PORE PRO PROM REM REP ROMP ROPE
8 6 000000101111001010101111101010101011111100001000	DINE DING HIDE HIND HINGE HINGED NIGH
11 10 00010000010111101000100101110001011110100010100000111111010001001011101111100001010100000111101000000101000000	ALE ASH ASHES HAS HASSLE HEAL LASH LEASH LESS SALE SASH SEAL SHALE SHE SLASH
9 7 011100000010111111111101000100001000111011100100000100000000100	INVITE NET NIT TEN TIN VEIN VENT VET VIE VINE
8 7 00001111001000101110011110100100111111101000000010111100	DUO NOUN ONUS SOD SON SOUND SUN UNDO UNSOUND
8 7 11110100000001110101110101001001111111100100101000001110	EXIST EXIT ITS SEX SIS SIT SITE SIX SIXTIES TIS
11 11 0001001111000010010100000111101001111000111110011110010100010111101011101001010010000000101110100000000101000000001110000	DEW DOW DREW OWE OWED RED REDO ROD RODE ROW ROWED WED WOE WOK WOKE WORD WORE WORK WORKED
10 9 000000000100010111010001010101000111011111110100010101010111010100101001110111100000001000	BED BUD BUS BUSED DUB DUD DUDE SUB SUBDUE SUBDUED SUE SUED USE USED
9 8 111110100000000100000111100010100111010100001111100111000000101011111101	ARC CAR CAROL COAL COLA CORAL CURL OAR OCULAR ORAL OUR
8 7 00111111000100011111010101010111111001000010010000111100	CHI CHIDED DICE DICED DID DIED HID HIDE ICE ICED
12 12 000000010000000111110000000001010000001111010000001001111000101000000000111100000010100000001111111101001010000101111111001111001010000101000000	AILS ALSO IONS LAIN LIAISON LION LOAN LOIN NAIL OILS SAIL SALON SILO SLAIN SNAIL SOIL
10 9 001000000000100000000011111100000100000011110011110101001010111011111000101010000011100000	ION NIP OOPS OPS PIN POISON SIN SIP SNIP SOON SOP SPIN SPOON
10 10 1000010000100011110010010100001011110000000100111101110001010010111111011110100000001110000000100000	DEMO DOE DOME DOSE DOT MET MODE MODEST MOST ODE SET SOME STEM TOE TOME
10 8 00101110000111101000001011100000100100001111111001000000100101111011110000000001	ERR JURY PER PERJURY PREY PRY PURE PURER PURR REP YEP YUP
11 10 00010111111000100000000011111100000010000000111101000001000010000010111101010101001111101111000101000100011110	ACES ACHE ACHED CASE CASH CASHED CHASE CHASED DASH EACH HEAD SHADE SHED
7 7 1001000100100010111000000100011110101001011111111	CRY EYE RYE SCREE SECRECY SEE SEER YES
9 9 000000010010001010111101010010101111011111010010100100111111100000000100000000100	ICES NICE NIECE SCENE SCENIC SCIENCE SEEN SINCE SINE
7 7 0000101000010100011110000100111111001010000111000	AGAIN ANGINA GAIN GIN INN NAG NAN
12 10 111101110000100101010001100111011101111000000101010100001111011100000000010111100000000101000000000111000000000100000000	AMP APLOMB BALM BAM BOA BOP LAB LAM LAMB LAMP LAP LOAM MAP MOB MOP OPAL PAL PALM
8 8 1111110000010100111101111010000111101001101010011000100000001000	DIET DIP EDIT PET PIE PITTED TEPID TIDE TIE TIED
11 9 001111111000010100010000111001111111001010001000011110011110101000000101000000011110000000010000000	LOOT LOT OUT ROLL ROLLOUT ROOT ROT ROUT RUT TOLL TOO TOOL TOUR TROLL
9 9 000001111000001001000101111000100010111110010100101110100101000100101000000111100	DEER DIRE DUE QUEER QUERIED QUID REED RID RIDE RUDE RUE
10 9 111111100010010000001011101111000010001000111010100010011110111010101001001111000111100000	AIR ARE BAR BARE BEAR BIZ BIZARRE BRA EAR ERA IRE RARE RAZE REAR RIB ZEBRA
7 6 001001011111111010010100101011110101001110	CEDE DELETE EEL ELECT ELECTED LET TEE
9 9 100001000100001000101111010101001111101000010001011110111110000001010000000010000	CANS CASINO COIN CONS ICON IONS SCAN SCION SONIC
11 8 1111010000100000100001000111011110001000001001111101110010101010000101011100001110100000	DAY DRY HAD HARD HARDLY HARDY HAY LAD LADY LARD LAY RAD RAY YARD
11 10 00001000010011110000100100111001011100010010101011110101111010000000001111100000010010000000111111100001001000	BEE BEG BEIGE BIG BILE BILL GEE GEL GILL GLEE GLIB ILL LEG LEGIBLE LIBEL LIE
11 8 0000111000000001010000111110111101010000010011110001111101001010000010111100000100101000	BECK BED BUCK BUCKED BUD CUB CUBE CUBED CUE DECK DUB DUCK DUKE
8 7 11100000101000011011110110101001100011110000010111110111	BUG BURG BURY GRUB GRUBBY GUY RUB RUBY RUG RUGBY
9 9 000001111000001001000111001000100000011100010010000010111111010001001110001111000	FAIR FAN FAR FIN FIR FUN FUR RAIN RAN RUIN RUN UNFAIR URN
11 11 0010100000001111001000001011110000111000100001000111100111101000001010011111111110101000001001011110000000100000000001000	ABLE ALE ALL BALE BALL BEFALL BELL ELF FAB FABLE FALL FELL FLAB FLEA LABEL LEAF
8 7 00111100001010101110111110000010111000011010000100111111	ABS BAY BUSY BUY SAW SAY SUBWAY SWAB SWAY WAS WAY
10 10 0000111000001010101000111011111110001010100000010011100101000101111110011101000001010100000011110000	AGE AGO AHEM EGO GAME GEM HAG HAM HEM HOE HOG HOMAGE HOME MAG MAGE MEGA OMEGA
8 8 0011110100000001001000011110111110111010101011100010101000100000	BIN BIO BONE BOVINE ION OVEN VEIN VIBE VIE VINE
12 10 000000100000000000100000000000111100000000101000000111101000100001001111100111110010100101011110111111010010000100010000	FIRS FIRST FISH FIST FITS HITS RIFT SHIFT SHIRT SHRIFT SIFT STIR THIS
9 7 001111110111000000101000000111100101000101111000100101000111100	ELM EMU LUTE MELT MET MULE MULL MULLET MUTE TELL
9 9 100000000100100000101111000100101000000101111011111001010100001111100001010000000	ARCS CARS OARS OURS RAUCOUS SCAR SCOUR SOAR SOUR
10 8 11111000000000001000000010100000001011100011111010001010011101111001000010111100	NOOSE NOR NOSE ONE ORE ROSE SNORE SON SOON SOONER SORE
12 11 000000011110000000010100000111111100001010000000001110111100001000000000011100100000010100100000111100111111010111100000000000100000	DOLE DOPE LED LODE LOPED OLD PEP PLED PLOP PLOPPED POD POLE POP POPE POPPED
9 9 000011100001010111011110100001000001111000001010001001011111101000101000001111000	AGO ALL GAL GALL GALLOP GAP GOAL LAG LAP OPAL PAL PALL POLL
12 11 000111111000000100100000011110100100010100111110111000100100001000001111011100000010010000001111010100101010011100111100000111101000	ARE BAR BARE BEAR BLAH BLARE BRA EAR EARL ERA HALE HARE HEAL HEAR HER HERB HERBAL LAB REAL REHAB
7 6 100000010001001000101101111100100010111111	ENGINE GENE GENIE GIN INN NINE
9 9 000001111100010101111110101100010101111110001001001111001111001001001000000001000	DOER DROP ODDER PORE PROD PRODDED REDO REPO RODE ROPE ROPED
7 6 101000010101001110111001010101111010010000	AAH AFGHAN AHA FAN FANG HANG NAG
9 7 100101111101111001100101001101111001001010001011110001001010000	AMEN ENAMEL LAME LANE LEAN MALE MANE MEAL MEAN NAME
11 8 1000000100011100111000101001011111111110010010100011110000010010000000100100000001111100	IRE PER PIE PIER PIPE PIPER PREP PRIZE REP RIP RIPE ZIP ZIPPER
11 11 0100100100011111001000010011110000111100111101010000100111110111100001001010000101111000001010100000111100000000101000000	CLOSE CLOSET CLOT COLT COST COTS LEST LETS LOSE LOST LOTS SECT SLOT SOLE STOLE TOES
8 6 101011111110000010101110111010100011101000101000	EGG GEL GOGO GOO GOOGLE LEG LOG LOGO OGLE
13 10 1111100111000101000010100010100111011101111010100010100101010011110111100000010001000000001000000000111100000000001000000000000100	DEFT DIET EDIT FED FETID FIT ITS SET SIDE SIFTED SIT SITE SITED TIDE TIE TIED TIS
8 8 0000100000001010000011110000101001111110010100001111000001011111	FEET FERRET FETE FREE FREER FRET REEF REFER
13 10 0001111110000000000000010000011110001000001010000100011111110111101010101010001111101111000010000010100001000000010000000000001000	COCO CONCORD CONDO CONDOR CORD CORDON CORN CROC CROON DONOR DOOR ODOR
11 8 0000000001000000010010000011110101111101011110001111100100010001001000100000011111000000	ETHER HERE TEE TEETH TETHER THE THEE THERE THREE TREE
8 8 0101111001010101010101111111000101000111010001010111110100000100	DEN DENSE END NEED SEE SEED SEEN SEND SNEEZE SNEEZED
8 7 00000100101001001110011110111101001010010011110000101000	ASK MAN MASK MUSK SANK SUM SUN SUNK UNMASK
13 11 00000011111100000001000000000100101000000111110111000001010010100111101111011100100000000010010101001111011110100100000001011110000001111000000	DELI DEW DIM DIME IDLE LEWD LID LIE LIED LIME MELD MID MILD MILDEW MILE WED WELD WIDE WIELD WILD
8 7 00111101001001010011110100010111111111000000100000001110	EMU ISSUE MESS MISUSE MUSE SEMI SIM SIS SUE USE
10 10 0111100000000000100000011110000001001010111100111110010000101001011110100001010010000111101000010100	DAME DEAF DEMO DOME FADE FAME FAMED FOAM FOAMED MADE MEAD MODE
7 7 0001111000100111110011001111100010111111100000100	BUST BUSY BUTS BUYS STUB STUBBY TUBBY TUBS
14 12 010111100000101111010000001001010111001111011110010010000010000111100001111000001000001010100000000010111111000000001010000000001111100000000000101000000000001000000000	INERT INTER NET NIT NITRITE REIN RENT RITE TEN TENT TERN TIER TIN TINE TINIER TINT TIRE TRITE
10 9 111100000000000000001000011100100101011110011101011111001111100100101011100111101000001000	AIM AMEN AXE EXAM EXAMINE MAIN MAN MANE MAX MEAN MEN MINE MIX NAME NIX
11 11 0010000000000100000000111000001000100000010001110111100001001001001110111110010000010111111011100010010100111100111000000	ANT ANY BAN BAT BATON BAY BOA BOAT BONY BOT BOTANY BOY NAB NAY NOT TAB TAN TON TOY YON
7 6 011111100010010101001111100101000000101111	CAKE JACK JACKET TACK TAKE TEAK
13 12 000000001111000000000101010000111111101000010001000100011100011110001000001001111100111110001000001010000111011110000000101010000000011100000000001010000000	DRUNK DRUNKEN DUE DUKE DUN DUNE DUNK NERD NUDE NUKE NUN RED REND RUDE RUE RUN RUNE UNDER URN
8 7 11110111000001010010010100101111111001001011110010000000	CUE CUED CUT CUTE DEDUCT DUCT DUD DUDE DUET
9 7 100000100111101111101000101111111101001000001000000001001111001	CEDE DECEIVE DEVICE DICE DIVE ICED VICE VIED
9 9 001111110000100100011110111010100010010011110000010000111110000100000000101111000	AGE AGED AWE AWED EGG GAG WAD WADE WAG WAGE WAGED WAGGED
11 10 11111000001100100100011001111000110010010101100001111011000010010000011101111000010010000000111110000000001000	ARC ARCH CAR CAROL CHAR CHORAL COAL COLA CORAL HALO OAR ORAL ORCA ROACH
9 9 000001000000101000111111010010101111111100010010011110010001000000001000011111000	EONS NOOSE NOSE ONES OOZE OZONE SNOOZE SOON ZONE ZOOS
11 9 000001110000000010100000100101110001111000100010000011111111010001001001111110000001010000000011100	LUSH PLUS PLUSH PLUSHY PLY PUS PUSH PUSHY SHY SLY SPY SUP UPS YUP
6 6 010000010100011101010111111101010000	EYE JEER JERSEY RYE SEER YES
12 11 001110000001001010000001111011101111010000100101111000111100001000000000001011110000001010010100001110011110000000010100000111111100	AID AIL ALT DIAL DIG DIGIT DIGITAL GAIT GAL GILT GIT GLAD LAG LAID LAT LIT TAD TAG TAIL TIDAL
10 8 00000000010000001111000000100100010111111111110001100101000111110001111000000000	DEN DENSE END NEED SEE SEED SEEN SEND SNEEZE SNEEZED
9 9 101000000111100000101000000111100000100111111000100101000100101000001111000000100	IONS NIPS OOPS PINS POISON SNIP SNOOP SPIN SPOON
8 6 001111110010001000101110101010001110111110001000	CLUE CUE LICE LIE SLICE SLUICE SUE USE
12 12 010111111000010100001000010111101000010100101000010111101001000010100111001111000101001010011101001001010101111101110101000111000001000100000000	ERR EVER FEE FERVOR FEVER FOE FOR FORE FOREVER FREE FREER FRO ORE OVER REEF REF REFER ROVE ROVER VEER
7 6 111111010001001011101001000101110010010001	CHOP CHOPPY COP COPY COY HOP POP
13 10 0001110101111000101110101001110101110100010000001000001111000100000010100010001111010000000010001000000001111100000000100010000000	DOE DOG DOGLEG DOLE EGO GEL GOD GOLD LED LEG LODE LODGE LOG LOGGED ODE OGLE OLD
9 7 000100000000100000011111000000101000111101111010100100010111100	ICE INK KIN NECK NICE NICK QUICK QUICKEN
11 10 00000001111010000010010100000100111111011111010010010100100100001001111011110000100100000001001000000011110000	FILE FIRE FLIER FLIP LIFE PERIL PIER PILE PILFER RIFE RIFLE RILE RIPE
7 5 01111000010100111111100000010001111	ILL ILLICIT LILT TIC TIL TILL
11 8 1111011100000000101000101111011111110100000110111000111001000001000010000010000100001111	LOT OPT PLOT PLOY POLY PORT PORTLY POT PRO PRY ROT TOP TOY TRY TYPO
9 7 000101111011100000010111111010001010111101110000100000011110000	ADD BABE BAD BADE BEAD BED DAB DABBED DAD DEAD EBB
10 10 1000011111111100000010011111111001000001100100111111110001010010111100001010010000111100000000100000	ILLS ISLE LIES LILIES SELL SILL SLEW SWELL SWILL WELL WILL WILLIES WISE
7 7 0111111000100110011111000010101111010001000001110	ION IRON JOIN JUNIOR NOR OUR RUIN RUN URN
11 8 1111011100000010101110101111010101001010011110000000001101111101110001001010000011111110	BEE BEEN BEET BENT BET BETWEEN EWE NET NEW TEE TEEN TEN TWEEN WEB WEE WENT WET
8 6 111001001010010010101111101110101000101010001110	GOO GOT GROTTO ROOT TOO TOOT TORT TOT TROT
12 10 111111011110100001010010100001010111101011110100101000001110001000000010001001010111000001010100000001011100000001110000	ARE ARK AWE EAR EEK EKE ERA RAKE RAW REEK WAKE WAR WEAK WEAKER WEAR WEEK WERE WREAK
7 6 101111010100001010001101011100101010111100	BED BEE BESIDE BID BIDE SEED SIDE
13 12 000010000000000111100000000010100000000001011111110011100010100001000111110000111100101000000101010001010011100001111000011100010100000011111100000001000000	DEEP DEER DIP DIRE DRIP EXPIRE EXPIRED IRE PEER PER PIE PRIDE PRIED RED REED REP RID RIDE RIP
8 7 00011100010101011111010101010111111100000100000001011111	COLON COLONY CON COO COOL LOON LOONY ONLY YON
12 10 000011100000001010111000011110101000001000001110011111000100010100001111010100001010111110001111010100000000000101111110	AIR ART ARTIST ITS RAT SAT SIR SIT STAIR STAR START STAT STIR STRAIT TAR TART TIS TRAIT
8 8 0011111100101000101110001110000010011110111010100011101000101000	DUE DUH HUE HUH HUSH HUSHED SHE SHED SUE SUED USE USED
10 8 00000100000000111100111101011110011101011001001111100100100010000010001000000000	HALO HOOP HOOPLA HOP LAP LOOP OOH OPAL PAL POLO POOL
8 7 00001000101110001010100011101111100001011000011111110001	EXES EXPO EXPOSE OPS POSE POX SEE SEEP SEX SOP
14 14 0000010000000000000111011101000001011101110011110101010100100000001111001000000010000011100000100000010000001000010111111100001111010000000001000100000000011111100000000100010000000000000100000000	ALE AXE AXED DALE DEAL EEL EXHALE EXHALED HAD HEAD HEAL HEALED HEED HEEL HELD HEX HEXED LAD LAX LEAD
7 7 0101000111100001011101001010111011110100010111111	HOT NOT OPT PONY POT PYTHON THY TON TOP TOY TYPO
10 8 00101010000010111010111110111110100000101110011110101000100000000111110000001000	ACE ACED CAD CAFE DEAF DECAF FACADE FACE FACED FAD FADE FED
6 6 111111100100100100100111000001111101	HEIR HER HIGH HIGHER HIRE RIG
11 11 0111111100000000101000000001111100001010100000111101000000100000011111000000110100000101111011101110011101110000001010100	AAH AHA ASH ASK AWASH CASH CASK HACK HACKSAW HAS HAWK SAC SACK SAW SHACK WAS WASH WHACK
7 6 011110100000011111111001010100111100010100	MINE NEON NINE NOMINEE NONE OMEN
